time, type, id, price, code, megacode
2023-02-03 19:53:56 UTC,view,5663275,11.22,525205241,f4ddced9-d221-4d28-a52d-3ca40b686bfe
2023-02-03 19:53:56 UTC,view,5764730,19.84,484904313,762c0340-96c7-4688-8085-c7679436a52d
2023-02-03 19:53:57 UTC,view,5723496,2.62,554428706,007dc9cb-b57d-4dfd-b553-87f448f521e6
2023-02-03 19:53:57 UTC,view,5849033,10.32,443802673,fa3d0ace-2463-46ca-af22-197921ce8922
2023-02-03 19:53:57 UTC,view,5561508,5.59,417468638,025f6911-369a-4600-a821-b1d61e4ec9dc
2023-02-03 19:53:57 UTC,view,5809894,4.76,547585759,c164d80c-ac47-4e53-9667-ad8cf0e219aa
2023-02-03 19:53:58 UTC,view,5852991,3.97,600232952,c02c341a-5035-42a9-8ea5-bcb99279294c
2023-02-03 19:53:58 UTC,view,5808663,6.37,610067424,5e6ef846-2070-475f-957c-5cba0489180f
2023-02-03 19:53:59 UTC,cart,5894346,10.32,603460737,80fc1fc3-201b-4d97-9c48-6d4d4a463299
2023-02-03 19:53:59 UTC,cart,6232,5.24,529427829,455bea03-8f39-45a3-a5d0-fe487b56b690
2023-02-03 19:53:59 UTC,view,5876722,6.19,587935832,1ed0d9e3-8896-4e31-bc00-586fdc1931fd
2023-02-03 19:54:00 UTC,cart,5864791,1.79,354731618,1e026a7f-1705-4e66-bc0c-8b2d2618cfd3
2023-02-03 19:54:00 UTC,cart,5686085,1.9,610065791,8c33bcc2-01dc-4591-9d53-ba7055a690d8
2023-02-03 19:54:00 UTC,purchase,5585662,0.94,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5622677,3.16,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5670338,1.9,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5692469,7.94,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5774210,3.81,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5804460,19.05,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5813416,5.56,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5820748,2.54,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,purchase,5886740,1.59,564146791,09e56f84-8bd3-4599-933e-7e2add4b7993
2023-02-03 19:54:00 UTC,view,5809861,5.71,231949596,f7385907-372f-41e3-a23d-9a3f4d990aef
2023-02-03 19:54:01 UTC,view,5690794,2.86,542613553,eac51aed-02cd-433d-a4f8-84fd86c76811
2023-02-03 19:54:01 UTC,view,5811437,0.71,607250317,c55b96f1-07bf-4695-87ba-4a767d86398b
2023-02-03 19:54:01 UTC,view,5899852,4.46,610065405,1ec277f5-9405-4eb7-bb8d-8ef7fe79b4f7
2023-02-03 19:54:02 UTC,cart,5898930,9.16,610025288,54c02b22-fae9-498c-ae63-8f2ce735ead7
2023-02-03 19:54:02 UTC,view,5837214,8.73,569965999,67f0e6c9-b065-40c3-b607-d373d4a2d64c
2023-02-03 19:54:02 UTC,view,5870111,4.29,506586972,85da8057-20ae-1c2f-84cd-9a1d5bb5aeb2
2023-02-03 19:54:02 UTC,view,5723265,1.56,610059947,59d8bd0b-ebdd-4a61-b6b8-aefe0525853f
2023-02-03 19:54:02 UTC,view,5768981,82.54,610065489,6b9c7cb7-4e08-4fc9-81bd-1cf41f2ddd52
2023-02-03 19:54:03 UTC,cart,5796818,4.29,510549815,dfbf05e2-efb8-4b41-b1de-0cd9a8317b9d
2023-02-03 19:54:03 UTC,cart,5758963,3.02,569952595,818bf028-5fff-47cb-8f09-01770ed2acda
2023-02-03 19:54:03 UTC,view,5854819,5.24,471479317,2945b914-fdf0-437f-9983-f3cb6413f152
2023-02-03 19:54:04 UTC,cart,5851095,1.11,610061555,689edf25-290d-4ae6-9e13-57379ded7c75
2023-02-03 19:54:04 UTC,cart,5758964,3.02,569952595,818bf028-5fff-47cb-8f09-01770ed2acda
2023-02-03 19:54:04 UTC,view,5912537,7.6,559416540,b9252612-1b3b-b2c3-0e06-194e34126b94
2023-02-03 19:54:04 UTC,view,5859406,2.37,434645327,c9fd4c2e-f6e5-4f68-9cb9-9251d759326b
2023-02-03 19:54:05 UTC,view,4903,4.25,472253173,00e787c3-3893-465b-83d6-4fce74c9a447
2023-02-03 19:54:05 UTC,view,5813069,15.54,499793798,f65297a4-f6d5-43f4-9f6d-2bdd1f3f245b
2023-02-03 19:54:06 UTC,cart,5902746,6.03,598096708,29e27437-d01f-47b3-88be-52de38732f3e
